summary_type,dataset,method,embedding,pearson_r,rank,note
best_embedding_per_dataset,adamson,frozen_linear,v4_bias_rec_best,0.18522288595636685,1.0,descriptive_only
best_embedding_per_dataset,dixit,frozen_linear,v4_bias_rec_best,0.670523138618783,1.0,descriptive_only
best_embedding_per_dataset,norman,frozen_linear,baseline,0.0989112563058734,1.0,descriptive_only
average_rank_across_datasets,ALL,frozen_linear,baseline,,2.6666666666666665,descriptive_only
average_rank_across_datasets,ALL,frozen_linear,minus,,4.0,descriptive_only
average_rank_across_datasets,ALL,frozen_linear,scGPT_human,,3.3333333333333335,descriptive_only
average_rank_across_datasets,ALL,frozen_linear,v4_bias_rec_best,,2.0,descriptive_only
average_rank_across_datasets,ALL,frozen_linear,v4_plain_best,,4.0,descriptive_only
average_rank_across_datasets,ALL,frozen_linear,v4_type_pe_best,,5.0,descriptive_only
best_embedding_per_dataset,adamson,frozen_backbone_trainable_head,v4_bias_rec_best,0.2245748147368431,1.0,descriptive_only
best_embedding_per_dataset,norman,frozen_backbone_trainable_head,baseline,0.12806898307055237,1.0,descriptive_only
average_rank_across_datasets,ALL,frozen_backbone_trainable_head,baseline,,2.5,descriptive_only
average_rank_across_datasets,ALL,frozen_backbone_trainable_head,minus,,4.0,descriptive_only
average_rank_across_datasets,ALL,frozen_backbone_trainable_head,scGPT_human,,5.0,descriptive_only
average_rank_across_datasets,ALL,frozen_backbone_trainable_head,v4_bias_rec_best,,1.5,descriptive_only
average_rank_across_datasets,ALL,frozen_backbone_trainable_head,v4_plain_best,,4.5,descriptive_only
average_rank_across_datasets,ALL,frozen_backbone_trainable_head,v4_type_pe_best,,3.5,descriptive_only
