train_dataset,test_dataset,n_slots_used,baseline_points,minus_points,scgpt_human_points,v4_bias_rec_best_points,v4_plain_best_points,v4_type_pe_best_points,winner,winner_margin,winner_margin_fraction
hESC,hHep,2,9.0,0.0,2.0,4.0,7.0,8.0,baseline,1.0,0.1
mDC,mHSC-GM,2,10.0,5.0,8.0,0.0,5.0,2.0,baseline,2.0,0.2
mDC,mHSC-L,2,10.0,4.0,6.0,0.0,8.0,2.0,baseline,2.0,0.2
mHSC-E,mHSC-GM,2,10.0,8.0,6.0,2.0,4.0,0.0,baseline,2.0,0.2
mHSC-L,mDC,2,10.0,2.0,8.0,0.0,5.0,5.0,baseline,2.0,0.2
mHSC-L,mHSC-GM,2,10.0,0.0,5.0,2.0,8.0,5.0,baseline,2.0,0.2
hESC,mDC,2,10.0,0.0,7.0,3.0,3.0,7.0,baseline,3.0,0.3
mHSC-GM,mHSC-L,2,1.0,9.0,8.0,4.0,3.0,5.0,minus,1.0,0.1
hHep,hESC,2,4.0,10.0,6.0,2.0,0.0,8.0,minus,2.0,0.2
mDC,hESC,2,6.0,10.0,8.0,0.0,4.0,2.0,minus,2.0,0.2
mHSC-E,mHSC-L,2,7.0,10.0,6.0,1.0,5.0,1.0,minus,3.0,0.3
hESC,mHSC-E,2,2.0,4.0,9.0,0.0,9.0,6.0,mixed,0.0,0.0
hESC,mHSC-GM,2,2.0,8.0,4.0,0.0,8.0,8.0,mixed,0.0,0.0
mDC,hHep,2,9.0,9.0,6.0,0.0,4.0,2.0,mixed,0.0,0.0
mHSC-E,mDC,2,9.0,0.0,2.0,4.0,6.0,9.0,mixed,0.0,0.0
mHSC-GM,hHep,2,9.0,2.0,9.0,4.0,0.0,6.0,mixed,0.0,0.0
mHSC-L,hESC,2,9.0,2.0,9.0,1.0,5.0,4.0,mixed,0.0,0.0
mDC,mHSC-E,2,4.0,6.0,10.0,2.0,0.0,8.0,scgpt_human,2.0,0.2
mHSC-GM,mHSC-E,2,8.0,6.0,10.0,0.0,4.0,2.0,scgpt_human,2.0,0.2
mHSC-L,mHSC-E,2,8.0,4.0,10.0,0.0,4.0,4.0,scgpt_human,2.0,0.2
mHSC-GM,mDC,2,6.0,1.0,1.0,10.0,8.0,4.0,v4_bias_rec_best,2.0,0.2
hHep,mHSC-GM,2,2.0,4.0,7.0,10.0,0.0,7.0,v4_bias_rec_best,3.0,0.3
mHSC-E,hESC,2,1.0,6.0,5.0,10.0,7.0,1.0,v4_bias_rec_best,3.0,0.3
mHSC-E,hHep,2,5.0,5.0,4.0,10.0,1.0,5.0,v4_bias_rec_best,5.0,0.5
hHep,mHSC-E,2,3.0,1.0,8.0,3.0,10.0,5.0,v4_plain_best,2.0,0.2
hHep,mHSC-L,2,0.0,6.0,3.0,4.0,10.0,7.0,v4_plain_best,3.0,0.3
mHSC-GM,hESC,2,6.0,0.0,5.0,2.0,10.0,7.0,v4_plain_best,3.0,0.3
hESC,mHSC-L,2,1.0,6.0,8.0,4.0,1.0,10.0,v4_type_pe_best,2.0,0.2
hHep,mDC,2,6.0,0.0,2.0,4.0,8.0,10.0,v4_type_pe_best,2.0,0.2
mHSC-L,hHep,2,6.0,0.0,8.0,2.0,4.0,10.0,v4_type_pe_best,2.0,0.2
