train_dataset,test_dataset,embedding,clf,mean_pos_score_source,mean_neg_score_source,margin_source,mean_pos_score_target,mean_neg_score_target,margin_target,abs_shift_pos,abs_shift_neg,abs_shift_margin
hESC500,mESC500,difference_v3,lr,0.4051954361795823,0.10876160723634658,0.2964338289432357,0.15733928601231645,0.11587450465440495,0.0414647813579115,0.24785615016726587,0.007112897418058373,0.25496904758532424
hESC500,mESC500,difference_v3,mlp,0.3502800464630127,0.08093243837356567,0.269347608089447,0.10750911384820938,0.08924460411071777,0.018264509737491608,0.24277093261480331,0.0083121657371521,0.2510830983519554
hESC500,mESC500,baseline,lr,0.4288382293902906,0.10913817861140875,0.31970005077888186,0.1410450647927531,0.11160312690440227,0.02944193788835084,0.28779316459753745,0.002464948292993527,0.29025811289053105
hESC500,mESC500,baseline,mlp,0.42037108540534973,0.07031866163015366,0.3500524237751961,0.0919930636882782,0.06840922683477402,0.02358383685350418,0.32837802171707153,0.0019094347953796387,0.3264685869216919
hESC500,mESC500,scGPT_human,lr,0.4423979578637063,0.10672586853405565,0.33567208932965065,0.14357471418308065,0.11180779429163136,0.031766919891449294,0.2988232436806256,0.0050819257575757115,0.30390516943820134
hESC500,mESC500,scGPT_human,mlp,0.39163628220558167,0.07768531888723373,0.31395096331834793,0.10903917253017426,0.0864407941699028,0.022598378360271454,0.2825971096754074,0.008755475282669067,0.2913525849580765
mESC500,hESC500,difference_v3,lr,0.6456067771774379,0.1763848897470214,0.4692218874304165,0.3824511710409007,0.3053131498990851,0.07713802114181562,0.26315560613653716,0.12892826015206368,0.39208386628860087
mESC500,hESC500,difference_v3,mlp,0.6789148449897766,0.1521194726228714,0.5267953723669052,0.4097440838813782,0.31692126393318176,0.09282281994819641,0.26917076110839844,0.16480179131031036,0.4339725524187088
mESC500,hESC500,baseline,lr,0.6403496594094851,0.17898732214768862,0.46136233726179643,0.5567569345801964,0.44374956340158656,0.11300737117860982,0.0835927248292887,0.2647622412538979,0.3483549660831866
mESC500,hESC500,baseline,mlp,0.6426980495452881,0.16590380668640137,0.4767942428588867,0.44781389832496643,0.3690509796142578,0.07876291871070862,0.19488415122032166,0.20314717292785645,0.3980313241481781
mESC500,hESC500,scGPT_human,lr,0.6557838625584766,0.1721377719514436,0.483646090607033,0.33704990842267224,0.2890747449900144,0.04797516343265784,0.3187339541358044,0.11693697303857079,0.43567092717437517
mESC500,hESC500,scGPT_human,mlp,0.6805058717727661,0.15763576328754425,0.5228701084852219,0.3814218044281006,0.31561240553855896,0.06580939888954163,0.2990840673446655,0.1579766422510147,0.45706070959568024
