scope,train_dataset,test_dataset,embedding,clf,mean_auroc,std_auroc,mean_auprc,std_auprc,delta_vs_baseline_auroc,delta_vs_baseline_auprc,delta_vs_scgpt_auroc,delta_vs_scgpt_auprc
transfer_seed,hESC500,mESC500,difference_v3,lr,0.6127636742789719,0.004571501700739317,0.3957672735494046,0.004170842413876506,0.012370111588602906,0.017199232736992642,0.03741635558367251,0.03217484949568572
transfer_seed,hESC500,mESC500,difference_v3,mlp,0.5474361086357046,0.010357839667992301,0.3482925498905454,0.012133365049576225,0.011551574135009068,0.003923140138158254,0.03454906161014204,0.01803321657249557
transfer_seed,hESC500,mESC500,baseline,lr,0.600393562690369,0.004862877954080085,0.37856804081241197,0.005709820548538542,0.0,0.0,0.025046243995069606,0.014975616758693078
transfer_seed,hESC500,mESC500,baseline,mlp,0.5358845345006955,0.019368261262937073,0.34436940975238717,0.015960768612550878,0.0,0.0,0.02299748747513297,0.014110076434337315
transfer_seed,hESC500,mESC500,scGPT_human,lr,0.5753473186952994,0.0040883766569694375,0.3635924240537189,0.00502993462734658,-0.025046243995069606,-0.014975616758693078,0.0,0.0
transfer_seed,hESC500,mESC500,scGPT_human,mlp,0.5128870470255625,0.012597126254764302,0.33025933331804985,0.007581023831074938,-0.02299748747513297,-0.014110076434337315,0.0,0.0
transfer_seed,mESC500,hESC500,difference_v3,lr,0.5735787726515168,0.006778965255858071,0.19136207228116103,0.006068938837054535,0.07122951062323724,0.03261358373452716,0.059946177437146475,0.03657486451604622
transfer_seed,mESC500,hESC500,difference_v3,mlp,0.6101351515768666,0.001758637207341208,0.20285569398686368,0.004367901573849827,0.02017840832704454,0.01696017919441492,0.04237654994055284,0.017182131718176008
transfer_seed,mESC500,hESC500,baseline,lr,0.5023492620282796,0.007476580192615297,0.15874848854663387,0.0011876925983444388,0.0,0.0,-0.01128333318609076,0.003961280781519055
transfer_seed,mESC500,hESC500,baseline,mlp,0.5899567432498221,0.0154740850069603,0.18589551479244876,0.005312463375199398,0.0,0.0,0.022198141613508304,0.00022195252376108754
transfer_seed,mESC500,hESC500,scGPT_human,lr,0.5136325952143703,0.003950973648900407,0.15478720776511481,0.0020745747327630573,0.01128333318609076,-0.003961280781519055,0.0,0.0
transfer_seed,mESC500,hESC500,scGPT_human,mlp,0.5677586016363138,0.011241155341166298,0.18567356226868767,0.005798270819579235,-0.022198141613508304,-0.00022195252376108754,0.0,0.0
strict_common_gene,hESC500,mESC500,difference_v3,lr,0.569742466786807,0.0,0.40505108346546914,0.0,,,,
strict_common_gene,hESC500,mESC500,baseline,lr,0.5720815347219312,0.0,0.4008954060154235,0.0,,,,
strict_common_gene,hESC500,mESC500,scGPT_human,lr,0.5658789447215121,0.0,0.3979765873053126,0.0,,,,
strict_common_gene,mESC500,hESC500,difference_v3,lr,0.5652639122026877,0.0,0.265098584042077,0.0,,,,
strict_common_gene,mESC500,hESC500,baseline,lr,0.5676345574304759,0.0,0.2666474523360103,0.0,,,,
strict_common_gene,mESC500,hESC500,scGPT_human,lr,0.5234757683737276,0.0,0.2407563490323752,0.0,,,,
strict_common_gene,hESC500,hESC500,difference_v3,lr,0.8537924711869482,0.0,0.5650963356183082,0.0,,,,
strict_common_gene,hESC500,hESC500,baseline,lr,0.8630920793022275,0.0,0.5897382956478903,0.0,,,,
strict_common_gene,hESC500,hESC500,scGPT_human,lr,0.8601932549563893,0.0,0.5849717250341382,0.0,,,,
strict_common_gene,mESC500,mESC500,difference_v3,lr,0.8949478548370052,0.0,0.8254644636627828,0.0,,,,
strict_common_gene,mESC500,mESC500,baseline,lr,0.8942122597697014,0.0,0.8219188999199925,0.0,,,,
strict_common_gene,mESC500,mESC500,scGPT_human,lr,0.8996662899966015,0.0,0.8344548222374346,0.0,,,,
